Name,Hex,R,G,B,H,S,V
maroon,#800000,128,0,0,0,255,128
dark red,#8B0000,139,0,0,0,255,139
brown,#A52A2A,165,42,42,0,190,165
firebrick,#B22222,178,34,34,0,206,178
crimson,#DC143C,220,20,60,174,232,220
red,#FF0000,255,0,0,0,255,255
tomato,#FF6347,255,99,71,5,184,255
coral,#FF7F50,255,127,80,8,175,255
indian red,#CD5C5C,205,92,92,0,141,205
light coral,#F08080,240,128,128,0,119,240
dark salmon,#E9967A,233,150,122,8,121,233
salmon,#FA8072,250,128,114,3,139,250
light salmon,#FFA07A,255,160,122,9,133,255
orange red,#FF4500,255,69,0,8,255,255
dark orange,#FF8C00,255,140,0,16,255,255
orange,#FFA500,255,165,0,19,255,255
gold,#FFD700,255,215,0,25,255,255
dark golden rod,#B8860B,184,134,11,21,240,184
golden rod,#DAA520,218,165,32,21,218,218
pale golden rod,#EEE8AA,238,232,170,27,73,238
dark khaki,#BDB76B,189,183,107,28,111,189
khaki,#F0E68C,240,230,140,27,106,240
olive,#808000,128,128,0,30,255,128
yellow,#FFFF00,255,255,0,30,255,255
yellow green,#9ACD32,154,205,50,40,193,205
dark olive green,#556B2F,85,107,47,41,143,107
olive drab,#6B8E23,107,142,35,40,192,142
lawn green,#7CFC00,124,252,0,45,255,252
chart reuse,#7FFF00,127,255,0,45,255,255
green yellow,#ADFF2F,173,255,47,42,208,255
dark green,#006400,0,100,0,60,255,100
green,#008000,0,128,0,60,255,128
forest green,#228B22,34,139,34,60,193,139
lime,#00FF00,0,255,0,60,255,255
lime green,#32CD32,50,205,50,60,193,205
light green,#90EE90,144,238,144,60,101,238
pale green,#98FB98,152,251,152,60,101,251
dark sea green,#8FBC8F,143,188,143,60,61,188
medium spring green,#00FA9A,0,250,154,79,255,250
spring green,#00FF7F,0,255,127,75,255,255
sea green,#2E8B57,46,139,87,73,171,139
medium aqua marine,#66CDAA,102,205,170,80,128,205
medium sea green,#3CB371,60,179,113,73,170,179
light sea green,#20B2AA,32,178,170,88,209,178
dark slate gray,#2F4F4F,47,79,79,90,103,79
teal,#008080,0,128,128,90,255,128
dark cyan,#008B8B,0,139,139,90,255,139
aqua,#00FFFF,0,255,255,90,255,255
cyan,#00FFFF,0,255,255,90,255,255
light cyan,#E0FFFF,224,255,255,90,31,255
dark turquoise,#00CED1,0,206,209,90,255,209
turquoise,#40E0D0,64,224,208,87,182,224
medium turquoise,#48D1CC,72,209,204,89,167,209
pale turquoise,#AFEEEE,175,238,238,90,68,238
aqua marine,#7FFFD4,127,255,212,80,128,255
powder blue,#B0E0E6,176,224,230,93,60,230
cadet blue,#5F9EA0,95,158,160,91,104,160
steel blue,#4682B4,70,130,180,104,156,180
corn flower blue,#6495ED,100,149,237,109,147,237
deep sky blue,#00BFFF,0,191,255,98,255,255
