Name,Hex,R,G,B,H,S,V
Black,#000000,0,0,0,0,0,0
White,#FFFFFF,255,255,255,0,0,255
Red,#FF0000,255,0,0,0,255,255
Lime,#00FF00,0,255,0,60,255,255
Blue,#0000FF,0,0,255,120,255,255
Yellow,#FFFF00,255,255,0,30,255,255
Cyan,#00FFFF,0,255,255,90,255,255
Magenta,#FF00FF,255,0,255,150,255,255
Silver,#C0C0C0,192,192,192,0,0,192
Gray,#808080,128,128,128,0,0,128
Maroon,#800000,128,0,0,0,255,128
Olive,#808000,128,128,0,30,255,128
Green,#008000,0,128,0,60,255,128
Purple,#800080,128,0,128,150,255,128
Teal,#008080,0,128,128,90,255,128
Navy,#000080,0,0,128,120,255,128
